Legajo;dia;ingreso;egreso
001021;1;08:10:00;17:11:10
001023;1;08:05:20;17:00:36
001022;1;07:58:40;16:59:10
001023;2;08:00:20;17:10:36
001023;3;08:00:20;17:10:36
001023;4;08:00:20;17:10:36
001023;5;08:00:20;17:10:36
001023;8;08:00:20;17:10:36
001023;9;08:00:20;17:10:36
001023;10;08:00:20;17:10:36
001023;11;08:00:20;17:10:36
001023;12;08:00:20;17:10:36
001023;13;08:01:20;17:09:36
001023;15;08:00:20;17:00:36
001023;16;08:00:20;17:00:36
001023;17;08:00:20;16:30:36
001023;18;08:00:20;17:10:36
001023;19;08:00:20;17:10:36
001023;20;08:00:20;17:10:36
001023;21;08:00:20;17:10:36
001023;24;08:00:20;17:10:36
001023;25;08:00:20;17:10:36
001023;26;08:00:20;17:10:36
001023;27;08:00:20;17:10:36
001023;28;08:00:20;17:10:36
001023;29;08:00:20;17:10:36
001023;30;08:00:20;17:10:36
